seqnames	start	end	width	strand	score	blockCount	thick.start	thick.end	thick.width	itemRgb	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	100302648	3308996	3320722	11727	+	206749	upstream	206749	Gm11944
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	103655	4031462	4048024	16563	+	929215	upstream	929215	Sec14l4
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	114679	3514684	3517351	2668	+	412437	upstream	412437	Selenom
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	216505	3330401	3342971	12571	+	228154	upstream	228154	Pik3ip1
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	236604	3125904	3131004	5101	+	23657	upstream	23657	Pisd-ps1
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	237625	3488284	3499350	11067	+	386037	upstream	386037	Pla2g3
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	380683	4064841	4077736	12896	+	962594	upstream	962594	Sec14l3
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	53897	3983636	3999326	15691	+	881389	upstream	881389	Gal3st1
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	56218	3288874	3309083	20210	+	186627	upstream	186627	Patz1
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	64934	3963975	3980004	16030	+	861728	upstream	861728	Pes1
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	71523	3452365	3479831	27467	+	350118	upstream	350118	8430429K09Rik
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	74203	3202392	3244588	42197	+	100145	upstream	100145	Eif4enif1
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	74522	3649191	3690477	41287	+	546944	upstream	546944	Morc2a
chr11	3101968	3102246	279	*	702	2061	4	74	71	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_255	75219	3895240	3901296	6057	+	792993	upstream	792993	Dusp18
chr12	67059195	67059518	324	*	3577	270	4	362	359	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_489	238217	66283379	66284401	1023	-	774793	upstream	774793	Rpl10l
chr12	67059195	67059518	324	*	3577	270	4	362	359	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_489	320772	66466060	67222549	756490	-	0	inside	163030	Mdga2
chrY	11858144	11858300	157	*	1030	210	5	107	103	NA	curax_10h_14h_Z22_vs_IgG__ZBP1_KO.macs2_peak_3245	100861987	12688110	17402715	4714606	+	829809	upstream	829809	Gm21379
